#options: 480x854 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=30 rc=abr mbtree=1 bitrate=3604 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:59 out:61 type:b dur:2 cpbdur:2 q:8.33 aq:2.82 tex:4909 mv:467 misc:496 imb:0 pmb:110 smb:1510 d:- ref:0 ;
in:61 out:62 type:b dur:2 cpbdur:2 q:8.59 aq:6.39 tex:3871 mv:601 misc:984 imb:0 pmb:211 smb:1409 d:- ref:0 ;
in:64 out:63 type:P dur:2 cpbdur:2 q:9.91 aq:2.56 tex:440637 mv:5409 misc:746 imb:55 pmb:1344 smb:221 d:- ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:9.32 aq:4.49 tex:6414 mv:596 misc:1102 imb:0 pmb:296 smb:1324 d:- ref:0 ;
in:66 out:65 type:P dur:2 cpbdur:2 q:10.27 aq:2.99 tex:175953 mv:2327 misc:1400 imb:6 pmb:1046 smb:568 d:- ref:0 ;
in:65 out:66 type:b dur:2 cpbdur:2 q:10.09 aq:4.47 tex:4238 mv:614 misc:588 imb:9 pmb:103 smb:1508 d:- ref:0 ;
in:70 out:67 type:P dur:2 cpbdur:2 q:10.23 aq:2.91 tex:211157 mv:2621 misc:1398 imb:13 pmb:1061 smb:546 d:- ref:0 ;
in:68 out:68 type:B dur:2 cpbdur:2 q:10.25 aq:8.41 tex:25807 mv:2620 misc:1573 imb:0 pmb:713 smb:907 d:- ref:0 ;
in:67 out:69 type:b dur:2 cpbdur:2 q:10.26 aq:8.33 tex:1372 mv:160 misc:404 imb:7 pmb:33 smb:1580 d:- ref:0 ;
in:69 out:70 type:b dur:2 cpbdur:2 q:10.24 aq:5.20 tex:2307 mv:447 misc:518 imb:7 pmb:66 smb:1547 d:- ref:0 ;
in:72 out:71 type:P dur:2 cpbdur:2 q:9.85 aq:2.44 tex:245510 mv:2500 misc:1254 imb:13 pmb:1136 smb:471 d:- ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:10.04 aq:4.21 tex:1076 mv:291 misc:593 imb:6 pmb:78 smb:1536 d:- ref:0 ;
in:74 out:73 type:P dur:2 cpbdur:2 q:9.73 aq:2.47 tex:163553 mv:1789 misc:1482 imb:6 pmb:988 smb:626 d:- ref:0 ;
in:73 out:74 type:b dur:2 cpbdur:2 q:9.79 aq:4.60 tex:515 mv:238 misc:487 imb:4 pmb:53 smb:1563 d:- ref:0 ;
in:76 out:75 type:P dur:2 cpbdur:2 q:9.48 aq:2.20 tex:219633 mv:2109 misc:1362 imb:13 pmb:1040 smb:567 d:- ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:9.61 aq:3.79 tex:1121 mv:328 misc:639 imb:0 pmb:120 smb:1500 d:- ref:0 ;
in:80 out:77 type:P dur:2 cpbdur:2 q:9.12 aq:2.00 tex:203238 mv:1933 misc:1397 imb:8 pmb:1059 smb:553 d:- ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:9.30 aq:6.85 tex:19550 mv:1818 misc:1480 imb:0 pmb:572 smb:1048 d:- ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:9.39 aq:4.53 tex:535 mv:61 misc:324 imb:0 pmb:23 smb:1597 d:- ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:9.21 aq:5.86 tex:1097 mv:179 misc:420 imb:5 pmb:36 smb:1579 d:- ref:0 ;
in:82 out:81 type:P dur:2 cpbdur:2 q:8.27 aq:1.54 tex:148493 mv:936 misc:1371 imb:6 pmb:1060 smb:554 d:- ref:0 ;
in:81 out:82 type:b dur:2 cpbdur:2 q:8.70 aq:3.16 tex:788 mv:141 misc:359 imb:5 pmb:23 smb:1592 d:- ref:0 ;
in:84 out:83 type:P dur:2 cpbdur:2 q:8.67 aq:1.74 tex:98770 mv:948 misc:1618 imb:4 pmb:829 smb:787 d:- ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:8.47 aq:2.25 tex:1291 mv:148 misc:369 imb:5 pmb:26 smb:1589 d:- ref:0 ;
in:86 out:85 type:P dur:2 cpbdur:2 q:8.43 aq:1.49 tex:103501 mv:1367 misc:1548 imb:5 pmb:880 smb:735 d:- ref:0 ;
in:85 out:86 type:b dur:2 cpbdur:2 q:8.55 aq:3.01 tex:1527 mv:226 misc:423 imb:6 pmb:35 smb:1579 d:- ref:0 ;
in:88 out:87 type:P dur:2 cpbdur:2 q:8.35 aq:1.39 tex:125923 mv:1393 misc:1492 imb:4 pmb:948 smb:668 d:- ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:8.39 aq:2.33 tex:1345 mv:267 misc:452 imb:8 pmb:45 smb:1567 d:- ref:0 ;
in:90 out:89 type:P dur:2 cpbdur:2 q:8.15 aq:1.33 tex:113445 mv:1304 misc:1491 imb:4 pmb:932 smb:684 d:- ref:0 ;
in:89 out:90 type:b dur:2 cpbdur:2 q:8.25 aq:1.79 tex:1171 mv:90 misc:355 imb:3 pmb:24 smb:1593 d:- ref:0 ;
in:92 out:91 type:P dur:2 cpbdur:2 q:8.07 aq:1.34 tex:131555 mv:1313 misc:1516 imb:9 pmb:919 smb:692 d:- ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:8.11 aq:2.63 tex:1945 mv:156 misc:419 imb:5 pmb:36 smb:1579 d:- ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:7.88 aq:1.29 tex:128698 mv:1603 misc:1539 imb:13 pmb:885 smb:722 d:- ref:0 ;
